SourceFile,Latitude,Longitude,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree
./DJI_0541.JPG,+33.8494374,-106.8735378,+1.20,+1328.23,+0.00,-30.20,-89.90,-1.20,-11.00,-2.50
./DJI_0555.JPG,+33.8490003,-106.8733067,+1.20,+1328.43,+0.00,+149.10,-89.90,+0.60,+168.90,-0.50
./DJI_0569.JPG,+33.8483834,-106.8731609,+1.20,+1328.23,+0.00,+149.40,-89.90,+0.30,+168.80,-2.30
./DJI_0582.JPG,+33.8481991,-106.8729850,+1.20,+1328.43,+0.00,-27.70,-89.90,-0.90,-11.20,+0.00
./DJI_0596.JPG,+33.8488132,-106.8731324,+1.20,+1328.33,+0.00,-30.10,-89.90,+0.10,-11.10,-0.50
./DJI_0353.JPG,+33.8490786,-106.8739636,+1.20,+1328.33,+0.00,-30.20,-89.90,+0.00,-10.80,-2.50
./DJI_0435.JPG,+33.8484427,-106.8735575,+1.20,+1328.03,+0.00,-30.00,-89.90,+0.80,-10.90,-3.50
./DJI_0421.JPG,+33.8478253,-106.8734107,+1.20,+1328.23,+0.00,-29.40,-89.90,-0.20,-10.90,-2.10
./DJI_0347.JPG,+33.8488095,-106.8739002,+1.20,+1328.33,+0.00,-30.10,-89.90,+0.70,-11.10,-0.30
./DJI_0409.JPG,+33.8475471,-106.8734735,+1.20,+1328.23,+0.00,+149.50,-89.90,+0.10,+168.70,-1.20
./DJI_0390.JPG,+33.8483865,-106.8736718,+1.20,+1328.33,+0.00,+149.40,-89.90,+0.70,+168.80,-1.40
./DJI_0384.JPG,+33.8486489,-106.8737345,+1.20,+1328.23,+0.00,+149.40,-89.90,-0.30,+168.50,-1.50
./DJI_0385.JPG,+33.8486067,-106.8737239,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.10,+168.90,-1.60
./DJI_0391.JPG,+33.8483408,-106.8736604,+1.20,+1328.33,+0.00,+149.40,-89.90,+1.80,+168.80,-1.20
./DJI_0408.JPG,+33.8475914,-106.8734842,+1.20,+1328.23,+0.00,+149.50,-89.90,+0.60,+168.90,-1.20
./DJI_0420.JPG,+33.8477811,-106.8734007,+1.20,+1328.23,+0.00,-29.30,-89.90,-0.60,-10.80,-2.10
./DJI_0346.JPG,+33.8487671,-106.8738895,+1.20,+1328.23,+0.00,-30.10,-89.90,-0.30,-11.10,-0.80
./DJI_0352.JPG,+33.8490311,-106.8739519,+1.20,+1328.33,+0.00,-30.20,-89.90,-0.70,-11.00,-1.80
./DJI_0434.JPG,+33.8484001,-106.8735481,+1.20,+1328.23,+0.00,-30.00,-89.90,-0.70,-10.80,-2.90
./DJI_0597.JPG,+33.8488587,-106.8731435,+1.20,+1328.33,+0.00,-30.10,-89.90,+0.00,-10.90,-0.70
./DJI_0583.JPG,+33.8482428,-106.8729954,+1.20,+1328.43,+0.00,-28.40,-89.90,-0.90,-11.30,+0.20
./DJI_0568.JPG,+33.8484277,-106.8731721,+1.20,+1328.33,+0.00,+149.40,-89.90,+0.20,+168.90,-2.50
./DJI_0554.JPG,+33.8490429,-106.8733166,+1.20,+1328.43,+0.00,+149.00,-89.90,+0.80,+168.90,-0.50
./DJI_0540.JPG,+33.8493930,-106.8735265,+1.20,+1328.23,+0.00,-30.20,-89.90,-1.10,-11.00,-3.20
./DJI_0556.JPG,+33.8489546,-106.8732960,+1.20,+1328.33,+0.00,+149.10,-89.90,+1.00,+168.90,-0.40
./DJI_0542.JPG,+33.8494836,-106.8735487,+1.20,+1328.23,+0.00,-30.20,-89.90,-0.80,-10.90,-2.60
./DJI_0595.JPG,+33.8487710,-106.8731215,+1.20,+1328.33,+0.00,-30.00,-89.90,-0.30,-11.20,-0.40
./DJI_0581.JPG,+33.8481550,-106.8729752,+1.20,+1328.43,+0.00,-25.00,-89.90,-0.80,-11.50,-0.10
./DJI_0344.JPG,+33.8486766,-106.8738685,+1.20,+1328.23,+0.00,-30.10,-89.90,+0.00,-11.10,-0.50
./DJI_0422.JPG,+33.8478714,-106.8734220,+1.20,+1328.33,+0.00,-29.60,-89.90,-0.90,-11.00,-1.40
./DJI_0436.JPG,+33.8484879,-106.8735688,+1.20,+1328.23,+0.00,-30.00,-89.90,+0.00,-11.20,-6.30
./DJI_0350.JPG,+33.8489442,-106.8739318,+1.20,+1328.43,+0.00,-30.20,-89.90,-0.70,-11.20,-1.80
./DJI_0378.JPG,+33.8489136,-106.8737965,+1.20,+1328.33,+0.00,+149.40,-89.90,+0.00,+168.50,+0.00
./DJI_0387.JPG,+33.8485188,-106.8737033,+1.20,+1328.23,+0.00,+149.40,-89.90,+0.30,+168.70,-1.60
./DJI_0393.JPG,+33.8482526,-106.8736393,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.10,+168.60,-1.40
./DJI_0392.JPG,+33.8482966,-106.8736501,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.30,+168.80,-1.60
./DJI_0386.JPG,+33.8485611,-106.8737128,+1.20,+1328.13,+0.00,+149.40,-89.90,+1.10,+168.70,-1.20
./DJI_0379.JPG,+33.8488694,-106.8737862,+1.20,+1328.43,+0.00,+149.40,-89.90,+0.00,+168.70,-0.50
./DJI_0437.JPG,+33.8485325,-106.8735782,+1.20,+1328.23,+0.00,-30.00,-89.90,-0.40,-11.40,-3.40
./DJI_0351.JPG,+33.8489885,-106.8739418,+1.20,+1328.43,+0.00,-30.20,-89.90,-0.60,-11.30,-1.60
./DJI_0345.JPG,+33.8487215,-106.8738793,+1.20,+1328.23,+0.00,-30.10,-89.90,+0.50,-11.00,-1.80
./DJI_0423.JPG,+33.8479151,-106.8734328,+1.20,+1328.33,+0.00,-29.70,-89.90,-1.00,-11.10,-2.50
./DJI_0580.JPG,+33.8481110,-106.8729662,+1.20,+1328.43,+0.00,-4.70,-89.90,-3.00,+2.20,+0.30
./DJI_0594.JPG,+33.8487280,-106.8731114,+1.20,+1328.33,+0.00,-30.00,-89.90,-0.80,-11.20,-0.20
./DJI_0543.JPG,+33.8495242,-106.8735447,+1.20,+1328.33,+0.00,-21.10,-90.00,+17.20,+44.80,+1.90
./DJI_0557.JPG,+33.8489109,-106.8732849,+1.20,+1328.33,+0.00,+149.20,-89.90,+1.80,+169.10,-0.70
./DJI_0553.JPG,+33.8490885,-106.8733274,+1.20,+1328.33,+0.00,+149.00,-89.90,+0.50,+168.80,-0.30
./DJI_0547.JPG,+33.8493524,-106.8733902,+1.20,+1328.43,+0.00,+147.90,-89.90,+1.20,+168.80,-0.10
./DJI_0590.JPG,+33.8485503,-106.8730684,+1.20,+1328.33,+0.00,-29.80,-89.90,-1.00,-11.00,+0.40
./DJI_0584.JPG,+33.8482844,-106.8730055,+1.20,+1328.43,+0.00,-28.90,-89.90,-0.80,-11.20,-0.20
./DJI_0369.JPG,+33.8493119,-106.8738910,+1.20,+1328.53,+0.00,+148.40,-89.90,-0.10,+168.00,+0.50
./DJI_0427.JPG,+33.8480903,-106.8734739,+1.20,+1328.23,+0.00,-29.90,-89.90,-1.90,-11.00,-1.60
./DJI_0341.JPG,+33.8485468,-106.8738382,+1.20,+1328.33,+0.00,-30.10,-89.90,-0.30,-10.90,-1.30
./DJI_0355.JPG,+33.8491650,-106.8739829,+1.20,+1328.23,+0.00,-30.20,-89.90,-1.30,-10.80,-2.50
./DJI_0433.JPG,+33.8483565,-106.8735374,+1.20,+1328.23,+0.00,-30.00,-89.90,+0.40,-11.10,-2.00
./DJI_0382.JPG,+33.8487374,-106.8737548,+1.20,+1328.43,+0.00,+149.40,-89.90,+1.10,+169.20,-0.60
./DJI_0396.JPG,+33.8481225,-106.8736091,+1.20,+1328.13,+0.00,+149.50,-89.90,+2.00,+168.60,-2.70
./DJI_0397.JPG,+33.8480776,-106.8735984,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.40,+168.80,-1.50
./DJI_0383.JPG,+33.8486952,-106.8737451,+1.20,+1328.43,+0.00,+149.40,-89.90,+0.60,+169.10,-1.20
./DJI_0354.JPG,+33.8491209,-106.8739733,+1.20,+1328.23,+0.00,-30.20,-89.90,-1.10,-11.20,-2.30
./DJI_0432.JPG,+33.8483129,-106.8735273,+1.20,+1328.33,+0.00,-30.00,-89.90,+0.00,-11.00,-1.40
./DJI_0426.JPG,+33.8480477,-106.8734635,+1.20,+1328.23,+0.00,-29.80,-89.90,-1.40,-11.00,-2.50
./DJI_0340.JPG,+33.8485023,-106.8738274,+1.20,+1328.23,+0.00,-30.10,-89.90,-0.60,-11.20,-1.80
./DJI_0368.JPG,+33.8493560,-106.8739014,+1.20,+1328.43,+0.00,+148.30,-89.90,+0.00,+168.20,+0.10
./DJI_0585.JPG,+33.8483287,-106.8730165,+1.20,+1328.43,+0.00,-29.20,-89.90,-0.90,-11.20,+0.10
./DJI_0591.JPG,+33.8485936,-106.8730787,+1.20,+1328.33,+0.00,-29.90,-89.90,-0.80,-11.40,-0.60
./DJI_0546.JPG,+33.8493944,-106.8734001,+1.20,+1328.43,+0.00,+147.20,-89.90,+0.90,+169.00,+0.50
./DJI_0552.JPG,+33.8491310,-106.8733372,+1.20,+1328.23,+0.00,+148.90,-89.90,+0.70,+168.90,-0.60
./DJI_0578.JPG,+33.8479845,-106.8730663,+1.20,+1328.13,+0.00,+149.50,-89.90,+1.60,+168.80,-3.20
./DJI_0544.JPG,+33.8494821,-106.8734191,+1.20,+1328.43,+0.00,+112.80,-89.90,+4.90,+160.20,+1.30
./DJI_0550.JPG,+33.8492199,-106.8733581,+1.20,+1328.33,+0.00,+148.70,-89.90,+0.60,+169.00,+0.00
./DJI_0587.JPG,+33.8484174,-106.8730375,+1.20,+1328.53,+0.00,-29.50,-89.90,-1.00,-11.20,-0.40
./DJI_0593.JPG,+33.8486831,-106.8731005,+1.20,+1328.43,+0.00,-30.00,-89.90,-0.70,-11.10,-0.70
./DJI_0418.JPG,+33.8476949,-106.8733811,+1.20,+1328.23,+0.00,-28.90,-89.90,+0.00,-11.00,-1.80
./DJI_0430.JPG,+33.8482236,-106.8735077,+1.20,+1328.13,+0.00,-29.90,-89.90,+0.30,-10.80,-1.30
